Term,Rate
0.25,0.015121
0.5,0.015009
0.75,0.015251
1.0,0.016308
1.25,0.015252
1.5,0.016117
1.75,0.016556
2.0,0.016268
2.25,0.016802
2.5,0.016711
2.75,0.016172
3.0,0.016515
3.25,0.0172
3.5,0.016233
3.75,0.016741
4.0,0.017067
4.25,0.016575
4.5,0.016758
4.75,0.016158
5.0,0.016491
5.25,0.016458
5.5,0.017023
5.75,0.016691
6.0,0.01687
6.25,0.017668
6.5,0.016551
6.75,0.017448
7.0,0.017108
7.25,0.016711
7.5,0.016087
7.75,0.016543
8.0,0.017101
8.25,0.017015
8.5,0.017906
8.75,0.017416
9.0,0.016645
9.25,0.017525
9.5,0.017271
9.75,0.017151
10.0,0.018347
10.25,0.017141
10.5,0.017312
10.75,0.018151
11.0,0.017465
11.25,0.017924
11.5,0.01784
11.75,0.018959
12.0,0.017195
12.25,0.016709
12.5,0.016712
12.75,0.01795
13.0,0.017435
13.25,0.01841
13.5,0.017624
13.75,0.017739
14.0,0.017958
14.25,0.017628
14.5,0.018532
14.75,0.017887
15.0,0.018149
15.25,0.016872
15.5,0.017792
15.75,0.017935
16.0,0.017111
16.25,0.016833
16.5,0.01799
16.75,0.017996
17.0,0.017832
17.25,0.017806
17.5,0.017444
17.75,0.01759
18.0,0.017706
18.25,0.017987
18.5,0.017906
18.75,0.017724
19.0,0.018731
19.25,0.017535
19.5,0.018516
19.75,0.016976
20.0,0.016942
20.25,0.017804
20.5,0.018501
20.75,0.017814
21.0,0.018197
21.25,0.017838
21.5,0.017218
21.75,0.018581
22.0,0.01778
22.25,0.018281
22.5,0.018731
22.75,0.018533
23.0,0.018856
23.25,0.018694
23.5,0.018387
23.75,0.019018
24.0,0.018274
24.25,0.017332
24.5,0.018236
24.75,0.017342
25.0,0.018186
25.25,0.01879
25.5,0.017144
25.75,0.017774
26.0,0.018409
26.25,0.018419
26.5,0.017779
26.75,0.018166
27.0,0.017824
27.25,0.018479
27.5,0.018091
27.75,0.018053
28.0,0.018024
28.25,0.018815
28.5,0.018119
28.75,0.019012
29.0,0.018813
29.25,0.018298
29.5,0.018811
29.75,0.018753
30.0,0.017928
